
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       916
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       1204
  TCP    0.0.0.0:5432           0.0.0.0:0              LISTENING       2300
  TCP    0.0.0.0:8000           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:18080          0.0.0.0:0              LISTENING       9856
  TCP    0.0.0.0:18443          0.0.0.0:0              LISTENING       9856
  TCP    0.0.0.0:49152          0.0.0.0:0              LISTENING       604
  TCP    0.0.0.0:49153          0.0.0.0:0              LISTENING       1004
  TCP    0.0.0.0:49154          0.0.0.0:0              LISTENING       360
  TCP    0.0.0.0:55515          0.0.0.0:0              LISTENING       696
  TCP    0.0.0.0:55541          0.0.0.0:0              LISTENING       676
  TCP    10.254.164.74:52799    170.251.156.165:443    ESTABLISHED     1864
  TCP    10.254.164.74:53487    170.251.184.15:443     ESTABLISHED     1020
  TCP    10.254.164.74:53630    23.103.232.118:443     ESTABLISHED     1020
  TCP    10.254.164.74:53633    61.135.186.152:80      LAST_ACK        4252
  TCP    10.254.164.74:53648    123.125.115.90:80      LAST_ACK        4252
  TCP    10.254.164.74:53653    123.125.115.90:80      LAST_ACK        4252
  TCP    10.254.164.74:53654    61.135.185.184:80      LAST_ACK        4252
  TCP    10.254.164.74:53656    123.125.115.90:80      LAST_ACK        4252
  TCP    10.254.164.74:53659    61.135.186.152:80      LAST_ACK        4252
  TCP    10.254.164.74:53660    61.135.186.152:80      LAST_ACK        4252
  TCP    10.254.164.74:53662    61.135.185.184:80      LAST_ACK        4252
  TCP    10.254.164.74:53669    61.135.185.184:80      LAST_ACK        4252
  TCP    10.254.164.74:53670    61.135.185.184:80      LAST_ACK        4252
  TCP    10.254.164.74:53673    61.135.185.184:80      LAST_ACK        4252
  TCP    10.254.164.74:53701    61.135.186.152:80      LAST_ACK        4252
  TCP    10.254.164.74:53722    123.125.115.90:80      CLOSING         4252
  TCP    10.254.164.74:53736    124.95.189.48:80       LAST_ACK        4252
  TCP    10.254.164.74:53741    202.108.23.152:80      LAST_ACK        4252
  TCP    10.254.164.74:53742    203.208.52.137:80      CLOSING         4252
  TCP    10.254.164.74:53747    123.125.115.90:80      CLOSING         4252
  TCP    10.254.164.74:53748    202.108.23.152:80      LAST_ACK        4252
  TCP    10.254.164.74:53751    58.22.98.15:80         ESTABLISHED     4252
  TCP    10.254.164.74:53752    58.22.98.15:80         ESTABLISHED     4252
  TCP    10.254.164.74:53753    58.22.98.15:80         ESTABLISHED     4252
  TCP    10.254.164.74:53759    123.125.115.90:80      CLOSING         4252
  TCP    10.254.164.74:53761    61.135.186.152:80      CLOSING         4252
  TCP    10.254.164.74:53762    61.135.186.152:80      CLOSING         4252
  TCP    10.254.164.74:53763    61.135.186.152:80      CLOSING         4252
  TCP    10.254.164.74:53764    61.135.186.152:80      CLOSING         4252
  TCP    10.254.164.74:53769    61.135.186.152:80      CLOSING         4252
  TCP    10.254.164.74:53771    61.135.186.152:80      CLOSING         4252
  TCP    10.254.164.74:53772    61.135.186.152:80      CLOSING         4252
  TCP    10.254.164.74:53774    61.135.186.152:80      CLOSING         4252
  TCP    10.254.164.74:53781    61.135.186.152:80      ESTABLISHED     4252
  TCP    10.254.164.74:53782    61.137.188.130:80      TIME_WAIT       0
  TCP    10.254.164.74:53784    42.56.65.156:80        CLOSING         4252
  TCP    10.254.164.74:53789    61.137.188.130:80      TIME_WAIT       0
  TCP    10.254.164.74:53794    60.18.151.46:80        CLOSING         4252
  TCP    10.254.164.74:53795    61.55.167.120:80       TIME_WAIT       0
  TCP    10.254.164.74:53796    61.137.188.130:80      TIME_WAIT       0
  TCP    10.254.164.74:53798    61.55.167.210:80       TIME_WAIT       0
  TCP    10.254.164.74:53799    61.55.167.210:80       TIME_WAIT       0
  TCP    10.254.164.74:53801    42.56.65.22:80         TIME_WAIT       0
  TCP    10.254.164.74:53808    210.14.128.141:80      TIME_WAIT       0
  TCP    10.254.164.74:53809    124.95.189.48:80       CLOSING         4252
  TCP    10.254.164.74:53811    61.135.162.115:80      CLOSING         4252
  TCP    10.254.164.74:53812    218.60.5.138:80        TIME_WAIT       0
  TCP    10.254.164.74:53813    163.177.72.159:80      TIME_WAIT       0
  TCP    10.254.164.74:53814    61.55.167.120:80       TIME_WAIT       0
  TCP    10.254.164.74:53815    202.108.23.152:80      ESTABLISHED     4252
  TCP    10.254.164.74:53906    58.22.98.15:80         LAST_ACK        4252
  TCP    10.254.164.74:53911    61.135.169.121:443     FIN_WAIT_1      4252
  TCP    10.254.164.74:53912    61.135.169.121:443     FIN_WAIT_1      4252
  TCP    10.254.164.74:53913    124.95.189.32:443      FIN_WAIT_1      4252
  TCP    10.254.164.74:53915    10.69.65.46:443        TIME_WAIT       0
  TCP    10.254.164.74:53916    124.95.189.33:443      FIN_WAIT_1      4252
  TCP    10.254.164.74:53929    23.103.232.198:443     ESTABLISHED     1020
  TCP    10.254.164.74:53933    23.103.232.198:443     ESTABLISHED     5220
  TCP    10.254.164.74:53935    123.125.65.117:80      FIN_WAIT_1      4252
  TCP    10.254.164.74:53936    23.103.232.198:443     ESTABLISHED     1020
  TCP    10.254.164.74:53937    23.103.232.198:443     ESTABLISHED     5220
  TCP    10.254.164.74:53938    23.103.232.198:443     ESTABLISHED     2132
  TCP    10.254.164.74:53939    23.103.232.198:443     ESTABLISHED     5220
  TCP    10.254.164.74:53940    23.103.232.198:443     ESTABLISHED     2132
  TCP    10.254.164.74:53941    23.103.232.198:443     ESTABLISHED     5220
  TCP    10.254.164.74:53942    10.69.64.164:443       TIME_WAIT       0
  TCP    10.254.164.74:53943    10.69.64.164:443       TIME_WAIT       0
  TCP    10.254.164.74:53944    202.108.23.152:80      LAST_ACK        4252
  TCP    10.254.164.74:53946    61.135.169.121:443     FIN_WAIT_1      4252
  TCP    10.254.164.74:53947    61.135.169.121:443     FIN_WAIT_1      4252
  TCP    10.254.164.74:53949    10.254.161.177:443     ESTABLISHED     360
  TCP    10.254.164.74:53952    61.135.169.121:443     TIME_WAIT       0
  TCP    10.254.164.74:53953    61.135.169.121:443     TIME_WAIT       0
  TCP    10.254.164.74:53954    61.135.169.121:443     TIME_WAIT       0
  TCP    10.254.164.74:53955    61.135.169.121:443     TIME_WAIT       0
  TCP    10.254.164.74:53956    61.135.169.121:443     TIME_WAIT       0
  TCP    10.254.164.74:53957    61.135.169.121:443     TIME_WAIT       0
  TCP    10.254.164.74:53958    61.135.169.121:443     TIME_WAIT       0
  TCP    10.254.164.74:53962    112.80.248.124:80      LAST_ACK        4252
  TCP    10.254.164.74:53966    61.135.186.152:80      LAST_ACK        4252
  TCP    10.254.164.74:53974    61.135.186.152:80      LAST_ACK        4252
  TCP    10.254.164.74:53976    123.125.65.117:80      FIN_WAIT_1      4252
  TCP    10.254.164.74:53989    123.125.65.117:80      FIN_WAIT_1      4252
  TCP    10.254.164.74:53997    10.254.161.147:135     TIME_WAIT       0
  TCP    10.254.164.74:53998    10.254.161.147:5224    TIME_WAIT       0
  TCP    10.254.164.74:53999    10.254.161.147:5219    TIME_WAIT       0
  TCP    10.254.164.74:54000    58.22.98.15:80         ESTABLISHED     4252
  TCP    10.254.164.74:54003    123.125.115.99:80      CLOSING         4252
  TCP    10.254.164.74:54004    123.125.115.99:80      CLOSING         4252
  TCP    10.254.164.74:54005    54.254.96.145:1723     ESTABLISHED     4
  TCP    10.254.164.74:54006    123.125.112.62:80      CLOSING         4252
  TCP    10.254.164.74:54007    123.125.112.62:80      FIN_WAIT_1      4252
  TCP    10.254.164.74:54008    123.125.112.49:80      TIME_WAIT       0
  TCP    10.254.164.74:54011    123.125.112.49:80      TIME_WAIT       0
  TCP    10.254.164.74:54012    123.125.112.62:80      CLOSING         4252
  TCP    10.254.164.74:54015    123.125.112.62:80      CLOSING         4252
  TCP    10.254.164.74:54016    123.125.112.62:80      CLOSING         4252
  TCP    10.254.164.74:54017    123.125.112.62:80      CLOSING         4252
  TCP    10.254.164.74:54018    123.125.112.49:80      FIN_WAIT_1      4252
  TCP    10.254.164.74:54019    123.125.112.49:80      FIN_WAIT_1      4252
  TCP    10.254.164.74:54020    123.125.112.49:80      FIN_WAIT_1      4252
  TCP    10.254.164.74:54021    123.125.112.49:80      FIN_WAIT_1      4252
  TCP    10.254.164.74:58151    123.59.12.94:80        CLOSE_WAIT      5184
  TCP    10.254.164.74:58354    198.41.30.200:443      CLOSE_WAIT      4908
  TCP    54.254.96.20:139       0.0.0.0:0              LISTENING       4
  TCP    54.254.96.20:53827     103.251.128.2:80       TIME_WAIT       0
